Page Number,Event,Date,Location,Price
1,Microsoft Ignite 2024,"Nov 18 - 22, 2024",Chicago,Free
1,MWC Barcelona 2025,"Mar 3 - 6, 2025",Barcelona,Free
1,ICE 2025,"Jan 20 - 22, 2025",Barcelona,Free
1,Game Developers Conference 2025,"Mar 17 - 21, 2025",San Francisco,Free
1,NRF 2025,"Jan 12 - 14, 2025",New York,Free
1,SXSW 2025,"Mar 7 - 15, 2025",Austin,"$ 495 - 1,365"
1,DMEXCO 2024,"Sep 18 - 19, 2024",Cologne,$ 63 - 235
1,CPHI Milan 2024,"Oct 8 - 10, 2024",Milan,$ 64 - 517
1,Licensing Expo Las Vegas 2025,"Mar 20 - 22, 2025",Las Vegas,Free
1,BIO International Convention 2025,"Jun 16 - 19, 2025",Boston,Free
1,ISC West 2025,"Apr 1 - 4, 2025",Las Vegas,Free
1,Money 20/20 USA 2024,"Oct 27 - 30, 2024",Las Vegas,"$ 0 - 5,950"
1,Web Summit 2024,"Nov 11 - 14, 2024",Lisbon,"$ 637 - 26,713"
1,HLTH Las Vegas 2024,"Oct 20 - 23, 2024",Las Vegas,"$ 0 - 2,795"
1,Black Hat USA 2024,"Aug 3 - 8, 2024",Las Vegas,"$ 0 - 3,299"
1,Viva Technology 2025,"Jun 11 - 14, 2025",Paris,$ 171 - 461
1,Consensus 2025,"May 14 - 16, 2025",Toronto,$399 
1,AWS Re:Invent 2024,"Dec 2 - 6, 2024",Las Vegas,"$2,099 "
1,Gitex Global 2024,"Oct 14 - 18, 2024",Dubai,Free
1,MJBizCon 2024,"Dec 3 - 6, 2024",Las Vegas,"$ 0 - 1,399"
2,ITC Vegas 2024,"Oct 15 - 17, 2024",Las Vegas,"$ 0 - 2,995"
2,Medical Design & Manufacturing - MD&M West 2025,"Feb 4 - 6, 2025",Anaheim,Free
2,Black Hat MEA 2024,"Nov 26 - 28, 2024",Malham,Free
2,ATX West 2025,"Feb 4 - 6, 2025",Anaheim,Free
2,WestPack 2025,"Feb 4 - 6, 2025",Anaheim,Free
2,IME West 2025,"Feb 4 - 6, 2025",Anaheim,Free
2,Plastec West 2025,"Feb 4 - 6, 2025",Anaheim,Free
2,NACS Show 2024,"Oct 7 - 10, 2024",Las Vegas,"$ 225 - 2,595"
2,Data Cloud Summit 2025,"Jun 2 - 5, 2025",San Francisco,Free
2,ViVE 2025,"Feb 16 - 19, 2025",Nashville,Free
2,ITB Berlin 2025,"Mar 4 - 6, 2025",Berlin,Free
2,TechCrunch Disrupt 2024,"Oct 28 - 30, 2024",San Francisco,$ 125 - 975
2,Kitchen/Bath Industry Show & Conference - KBIS 2025,"Feb 25 - 27, 2025",Las Vegas,Free
2,IRX @ DTX + UCX 2024,"Oct 2 - 3, 2024",London,Free
2,Global Gaming Expo (G2E) 2024,"Oct 7 - 10, 2024",Las Vegas,"$ 0 - 1,499"
2,Learning Technologies London 2025,"Apr 30 - May 1, 2025",London,Free
2,eCommerce Expo London 2024,"Sep 18 - 19, 2024",London,Free
2,SATELLITE Conference & Exhibition 2025,"Mar 10 - 13, 2025",Washington,Free
2,Dreamforce 2024,"Sep 17 - 19, 2024",San Francisco,"$ 1,499 - 2,499"
2,Inbound 2024,"Sep 18 - 20, 2024",Boston,"$ 1,274 - 1,899"
3,World AI Cannes Festival 2025,"Feb 13 - 15, 2025",Cannes,Free
3,Digital Transformation North America 2025,"Jun 4 - 5, 2025",Santa Clara,Free
3,Manifest 2025,"Feb 10 - 12, 2025",Las Vegas,"$ 0 - 1,395"
3,GroceryShop 2024,"Oct 7 - 9, 2024",Las Vegas,"$ 0 - 3,600"
3,Spring Fair 2025,"Feb 2 - 5, 2025",Birmingham,Free
3,Hai Heli-Expo 2025,"Mar 10 - 13, 2025",Dallas,Free
3,AXS'25 2025,"Apr 27 - May 1, 2025",Las Vegas,Free
3,Bio-IT World Conference & Expo 2025,"Apr 2 - 4, 2025",Boston,Free
3,SaaStr Annual 2024,"Sep 10 - 11, 2024",San Mateo,"$ 799 - 1,349"
3,Vision Expo East 2025,"Feb 19 - 22, 2025",Orlando,Free
3,SuiteWorld 2024,"Sep 9 - 12, 2024",Las Vegas,"$ 1,295 - 2,295"
3,Digital Transformation Week Europe 2024,"Oct 1 - 2, 2024",Amsterdam,"$ 0 - 1,286"
3,Tech Show London 2025,"Mar 12 - 13, 2025",London,Free
3,Slush 2024,"Nov 20 - 21, 2024",Helsinki,"$ 375 - 1,081"
3,iGB Live 2024,"Jul 16 - 19, 2024",Amsterdam,Free
3,Fruit Logistica 2025,"Feb 5 - 7, 2025",Berlin,Free
3,NAB Show 2025,"Apr 6 - 9, 2025",Las Vegas,Free
3,NAHB IBS 2025,"Feb 25 - 27, 2025",Las Vegas,Free
3,eTail Palm Springs 2025,"Feb 24 - 27, 2025",Palm Desert,Free
3,Event Tech Live London 2024,"Nov 20 - 21, 2024",London,Free
4,International Cybersecurity Forum (FIC) Europe 2025,"Apr 1 - 3, 2025",Lille,Free
4,MAU Vegas 2025,"May 20 - 22, 2025",Las Vegas,Free
4,InfoSecurity Europe 2025,"Jun 3 - 5, 2025",London,Free
4,E-World Energy & Water 2025,"Feb 11 - 13, 2025",Essen,Free
4,MWC Las Vegas 2024,"Oct 8 - 10, 2024",Las Vegas,Free
4,WeAreDevelopers World Congress 2024,"Jul 17 - 19, 2024",Berlin,"$ 199 - 1,329"
4,Paris Air Show 2025,"Jun 16 - 22, 2025",Le Bourget,Free
4,SCOPE Summit 2025,"Feb 3 - 6, 2025",Orlando,Free
4,IMEX Frankfurt 2025,"May 20 - 22, 2025",Frankfurt,Free
4,Atlanta Market And More 2024,"Jul 16 - 22, 2024",Atlanta,Free
4,ODSC West 2024,"Oct 29 - 31, 2024",Burlingame,"$ 45 - 4,430"
4,Insurtech Insights USA 2025,"Jun 4 - 5, 2025",New York,"$ 299 - 2,495"
4,POSSIBLE 2025,"Apr 28 - 30, 2025",Miami Beach,Free
4,International Confex 2025,"Feb 26 - 27, 2025",London,Free
4,The AI Summit New York 2024,"Dec 11 - 12, 2024",New York,"$ 99 - 2,399"
4,Gulf Information Security Expo & Conference 2025,"May 6 - 8, 2025",Dubai,Free
4,Identity Week America 2024,"Sep 11 - 12, 2024",Washington DC,$ 895 - 995
4,Coalesce 2024,"Oct 7 - 10, 2024",Las Vegas,"$ 0 - 1,500"
4,TSIA World: Envision 2024,"Oct 21 - 23, 2024",Las Vegas,"$ 1,596 - 2,396"
4,HD Expo + Conference 2025,"May 6 - 8, 2025",Las Vegas,Free
5,Seamless Asia 2025,"Feb 26 - 27, 2025",Singapore,$221 
5,Futurebuild 2025,"Mar 4 - 6, 2025",London,Free
5,SuperReturn International 2025,"Jun 3 - 6, 2025",Berlin,"$ 2,790 - 7,990"
5,5G Expo 2025,"Feb 11 - 13, 2025",Fort Lauderdale,"$ 79 - 2,999"
5,Identiverse 2025,"Jun 3 - 6, 2025",Las Vegas,"$ 500 - 2,395"
5,TCEA Convention & Exposition 2025,"Feb 1 - 5, 2025",Austin,Free
5,Indian Gaming Tradeshow & Convention 2025,"Mar 31 - Apr 3, 2025",San Diego,Free
5,Cisco Live San Diego 2025,"Jun 8 - 12, 2025",San Diego,Free
5,IFA Berlin 2024,"Sep 6 - 10, 2024",Berlin,$ 0 - 117
5,Accounting Business Expo 2025,"Mar 12 - 13, 2025",Sydney,Free
5,Medicarians 2025,"Mar 31 - Apr 2, 2025",Las Vegas,Free
5,The Lead Innovation Summit 2024,"Jul 10 - 11, 2024",New York,"$ 1,095 - 2,275"
5,Seamless Europe 2024,"Sep 10 - 11, 2024",Munich,Free
5,DevLearn Conference & Expo 2024,"Nov 6 - 8, 2024",Las Vegas,"$ 49 - 2,795"
5,IBC Amsterdam 2024,"Sep 13 - 16, 2024",Amsterdam,"$ 0 - 1,181"
5,SHRM Talent Conference & Exposition 2025,"Mar 24 - 26, 2025",Nashville,"$ 1,495 - 2,495"
5,World Travel Market London 2024,"Nov 5 - 7, 2024",London,$ 0 - 58
5,Pack Expo International 2024,"Nov 3 - 6, 2024",Chicago,$ 30 - 130
5,JCK Show 2025,"Jun 6 - 9, 2025",Las Vegas,Free
5,SXSW EDU 2025,"Mar 3 - 6, 2025",TBA,Free
6,Affiliate Summit East 2024,"Jul 29 - 30, 2024",New York,$ 699 - 899
6,Content Marketing World Conference and Expo 2024,"Oct 21 - 23, 2024",San Diego,"$ 899 - 2,999"
6,Dublin Tech Summit 2025,"May 28 - 29, 2025",Dublin,Free
6,HPBExpo 2025,"Mar 26 - 29, 2025",New Orleans,Free
6,DMEA 2025,"Apr 8 - 10, 2025",Berlin,Free
6,eMerge Americas - The Premier Global Tech Conference + Expo 2025,"Mar 27 - 28, 2025",Miami Beach,$ 199 - 650
6,Data Innovation Summit 2025,"May 7 - 8, 2025",Stockholm,$ 260 - 542
6,NRF Protect 2025,"Jun 23 - 25, 2025",Grapevine,Free
6,Ai4 2024,"Aug 12 - 14, 2024",Las Vegas,"$ 0 - 1,895"
6,Singapore Fintech Festival 2024,"Nov 6 - 8, 2024",Singapore,"$ 0 - 3,693"
6,BioTechX Europe 2024,"Oct 9 - 10, 2024",Basel,"$ 0 - 2,034"
6,eTail Boston 2024,"Aug 12 - 15, 2024",Boston,"$ 699 - 3,899"
6,The Hospitality Show 2024,"Oct 28 - 30, 2024",San Antonio,$ 399 - 849
6,UNLEASH World 2024,"Oct 16 - 17, 2024",Paris,"$ 1,871 - 6,430"
6,Gartner IT Symposium/Xpo 2024,"Oct 21 - 24, 2024",Orlando,"$ 5,650 - 7,550"
6,SaaStock Dublin 2024,"Oct 14 - 16, 2024",Dublin,"$ 685 - 9,999"
6,NACDS Total Store Expo 2024,"Aug 17 - 19, 2024",Boston,Free
6,Cosmoprof Worldwide 2025,"Mar 20 - 23, 2025",Bologna,Free
6,SEMA Show 2024,"Nov 5 - 8, 2024",Las Vegas,$ 40 - 399
6,Tech in Gov 2024,"Jul 23 - 24, 2024",Canberra,$ 266 - 998
7,LogiMAT Stuttgart 2025,"Mar 11 - 13, 2025",Stuttgart,Free
7,IMEX America 2024,"Oct 8 - 10, 2024",Las Vegas,Free
7,Big Data London 2024,"Sep 18 - 19, 2024",London,Free
7,Accounting & Finance Show Asia 2024,"Oct 16 - 17, 2024",Singapore,Free
7,Acumatica Summit 2025,"Jan 26 - 29, 2025",Las Vegas,Free
7,GSX 2024,"Sep 23 - 25, 2024",Orlando,"$ 0 - 1,620"
7,Edge Computing Expo North America 2025,"Jun 4 - 5, 2025",Santa Clara,Free
7,Automechanika Frankfurt 2024,"Sep 10 - 14, 2024",Frankfurt,Free
7,E-SHOW Madrid 2024,"Oct 16 - 17, 2024",Madrid,Free
7,DSEI 2025,"Sep 9 - 12, 2025",London,Free
7,Cisco Live 2025,"Feb 10 - 14, 2025",Amsterdam,Free
7,Transform 2025,"Mar 17 - 19, 2025",Las Vegas,"$1,195 "
7,Step Conference Dubai 2025,"Feb 19 - 20, 2025",Dubai,Free
7,ANA Masters of Marketing Conference 2024,"Oct 22 - 25, 2024",Orlando,"$ 1,899 - 3,299"
7,Gartner Security & Risk Management Summit 2025,"Jun 9 - 11, 2025",National Harbor,"$ 3,825 - 4,525"
7,ISC High Performance 2025,"Jun 10 - 13, 2025",Hamburg,Free
7,Fabtech 2024,"Oct 15 - 17, 2024",Orlando,$ 0 - 50
7,Las Vegas Market And More 2024,"Jul 28 - Aug 1, 2024",Las Vegas,Free
7,B2B Marketing Exchange East 2024,"Oct 1 - 3, 2024",Alpharetta,$ 395 - 695
7,Global Pet Expo 2025,"Mar 26 - 28, 2025",Orlando,Free
8,The Inspired Home Show 2025,"Mar 2 - 4, 2025",Chicago,"$ 100 - 1,000"
8,KubeCon + CloudNativeCon North America 2024,"Nov 12 - 15, 2024",Salt Lake City,"$ 150 - 2,299"
8,LEAP Tech Conference Saudi Arabia 2025,"Feb 10 - 13, 2025",Riyadh,Free
8,American Society of Human Genetics (ASHG) Annual Meeting 2024,"Nov 5 - 9, 2024",Denver,"$ 0 - 1,260"
8,SIGGRAPH 2024,"Jul 28 - Aug 1, 2024",Denver,"$ 45 - 1,675"
8,RE+ 2024,"Sep 9 - 12, 2024",Anaheim,"$ 200 - 1,325"
8,Cosmoprof North America 2024,"Jul 23 - 25, 2024",Las Vegas,Free
8,Gulfood 2025,"Feb 17 - 21, 2025",Dubai,Free
8,IBTM World 2024,"Nov 19 - 21, 2024",Barcelona,Free
8,Promat 2025,"Mar 17 - 20, 2025",Chicago,Free
8,PestWorld 2024,"Oct 22 - 25, 2024",Denver,"$ 175 - 1,100"
8,SuperZoo 2024,"Aug 14 - 16, 2024",Las Vegas,$ 30 - 220
8,B2B Summit North America 2025,"Mar 31 - Apr 3, 2025",Phoenix,"$ 3,595 - 15,180"
8,Tech Show Paris 2024,"Nov 27 - 28, 2024",Paris,Free
8,Experiential Marketing Summit 2025,"Apr 14 - 16, 2025",Las Vegas,Free
8,National Hardware Show 2025,"Mar 18 - 20, 2025",Las Vegas,"$1,000 "
8,ASD Market Week Las Vegas 2025,"Mar 9 - 12, 2025",Las Vegas,Free
8,International Food & Drink Event 2025,"Mar 17 - 19, 2025",London,Free
8,AIA Conference on Architecture & Design 2025,"Jun 4 - 7, 2025",Boston,Free
8,IFT First Annual Meeting and Expo 2024,"Jul 14 - 17, 2024",Chicago,"$ 310 - 2,085"
9,Customer Contact Week 2025 - Las Vegas,"Jun 9 - 12, 2025",Las Vegas,"$ 799 - 5,499"
9,Dubai Airshow 2025,"Nov 17 - 21, 2025",Dubai,Free
9,Bett UK 2025,"Jan 22 - 24, 2025",London,Free
9,India Warehousing Show 2024,"Jul 11 - 13, 2024",New Delhi,Free
9,B2B Marketing Expo 2024,"Nov 27 - 28, 2024",London,Free
9,London Build Expo 2024,"Nov 20 - 21, 2024",London,Free
9,ASU+GSV Summit 2025,"Apr 7 - 9, 2025",San Diego,"$ 1,600 - 2,450"
9,Sweets & Snacks Expo 2025,"May 13 - 15, 2025",indianapolis,Free
9,Cannes Yachting Festival 2024,"Sep 10 - 15, 2024",Cannes,"$ 42 - 1,608"
9,RCC Store 2025,"Jun 3 - 4, 2025",TBA,Free
9,ASCEND 2024,"Jul 30 - Aug 1, 2024",Las Vegas,"$ 249 - 1,399"
9,Festival of DAM 2024,4-Dec-24,Digital,$ 29 - 399
9,IAAPA Expo 2024,"Nov 18 - 22, 2024",Orlando,Free
9,BrandWeek 2024,"Sep 23 - 26, 2024",Phoenix,"$ 425 - 4,999"
9,Maison&Objet Paris September 2024,"Sep 5 - 9, 2024",Paris,Free
9,WAFC Annual Convention 2025,"May 3 - 7, 2025",Palm Desert,Free
9,InfoComm India 2024,"Sep 3 - 5, 2024",Mumbai,Free
9,AEEDC Dubai 2025,"Feb 4 - 6, 2025",Dubai,Free
9,Hardware Pioneers Max 2025,"Apr 23 - 24, 2025",London,Free
9,Smart Cities Expo World Congress 2024,"Nov 5 - 7, 2024",Barcelona,"$ 108 - 2,160"
10,SBC Summit 2024 - Latinoamérica,"Oct 29 - 31, 2024",Miami,$ 250 - 600
10,ICML 2024,"Jul 21 - 27, 2024",Vienna,"$ 165 - 1,365"
10,Food Ingredients North America (Fi) 2024,"Oct 30 - 31, 2024",Las Vegas,"$ 199 - 1,299"
10,HR Technology Europe 2025,"Mar 4 - 5, 2025",Amsterdam,Free
10,Space Symposium 2025,"Apr 7 - 10, 2025",TBA,Free
10,TOKEN2049 Singapore 2024,"Sep 18 - 19, 2024",Singapore,"$ 599 - 4,999"
10,E-commerce Berlin Expo 2025,"Feb 19 - 20, 2025",Berlin,Free
10,ICMI Contact Center Expo Orlando 2024,"Oct 21 - 24, 2024",Orlando,"$ 0 - 4,399"
10,RIMS 2025,"May 4 - 7, 2025",Chicago,Free
10,SupplySide West 2024,"Oct 28 - 31, 2024",Las Vegas,"$ 199 - 1,299"
10,Vision Expo West 2024,"Sep 18 - 21, 2024",Las Vegas,$ 0 - 499
10,START Summit 2025,"Mar 20 - 21, 2025",St. Gallen,Free
10,TSIA World: INTERACT 2025,"Apr 28 - 30, 2025",Orlando,Free
10,Community Summit North America 2024,"Oct 13 - 17, 2024",San Antonio,"$ 899 - 1,799"
10,Interphex 2025,"Apr 1 - 3, 2025",New York,Free
10,International Roofing Expo 2025,"Feb 19 - 21, 2025",San Antonio,$ 75 - 499
10,European Cloud Summit 2025,"May 26 - 28, 2025",Düsseldorf,$ 428 - 992
10,IMTS 2024,"Sep 9 - 14, 2024",Chicago,$ 0 - 50
10,Printing United Expo 2024,"Sep 10 - 12, 2024",Las Vegas,Free
10,CREtech New York 2024,"Nov 13 - 14, 2024",New York,$ 149 - 999
